标准编号 	标准名称 										
1 	云南水百贸易有限公司（注 2） 	2,003.90 	2,003.90 	1.08% 							
1 											
1 	云南水星家用纺织品有限公司 	5,240.20 	5,240.20 	2.83% 							
1 											
1 	小计 	7,244.10 	7,244.10 	3.91% 							
											
2 	唯品会（中国）有限公司 	4,988.19 	4,988.19 	2.69% 							
											
3 	临沂市路得家纺有限公司 	3,045.04 	3,045.04 	1.64% 							
3 											
3 	临沂市亚伦商贸有限公司 	1,463.08 	1,463.08 	0.79% 							
3 											
3 	小计 	4,508.12 	4,508.12 	2.44% 							
											
4 	株洲海洋实业有限公司 	2,389.64 	2,389.64 	1.29% 							
4 											
4 	株洲三叶贸易有限公司 	2,002.29 	2,002.29 	1.08% 							
4 											
4 	小计 	4,391.93 	4,391.93 	2.37% 							
											
5 	北京京东世纪贸易有限公司 	4,345.12 	4,345.12 	2.35% 							
											
合计 	合计 	25,477.46 	25,477.46 	13.76% 							
											
1 	株洲海洋实业有限公司 	2,657.01 	2,657.01 	1.50% 							
1 											
1 	株洲三叶贸易有限公司 	2,479.43 	2,479.43 	1.40% 							
1 											
1 	小计 	5,136.44 	5,136.44 	2.90% 							
											
2 	临沂市路得家纺有限公司 	2,599.53 	2,599.53 	1.46% 							
2 											
2 	临沂市亚伦商贸有限公司 	2,281.91 	2,281.91 	1.29% 							
2 											
2 	小计 	4,881.44 	4,881.44 	2.75% 							
											
3 	河南水星家用纺织品有限公司 	566.32 	566.32 	0.32% 							
3 											
3 	洛阳庆邦商贸有限公司 	2,835.39 	2,835.39 	1.60% 							
3 											
3 	小计 	3,401.71 	3,401.71 	1.92% 							
											
4 	重庆诺诗曼贸易有限公司 	2,958.44 	2,958.44 	1.67% 							
											
5 	南昌骏业贸易有限公司 	2,673.68 	2,673.68 	1.51% 							
5 											
5 	南昌（李雪莲） 	109.6 	109.6 	0.06% 							
5 											
5 	小计 	2,783.28 	2,783.28 	1.57% 							
											
合计 	合计 	19,161.31 	19,161.31 	10.79% 							
											
2015 年 											
											
2014 年 											
											
年度 	序号 	名称 	销售方式 	销售金额 （万元） 	占营业收入 比例 						
2016 年 	1 	云南水星家用纺织品有限公司 	买断 	6,814.38 	3.45% 						
2016 年 	1 	云南水百贸易有限公司 	买断 	1,960.63 	0.99% 						
2016 年 	1 	小 计 	 	8,775.01 	4.44% 						
2016 年 	2 	株洲海洋实业有限公司 	买断 	2,309.09 	1.17% 						
2016 年 	2 	株洲三叶贸易有限公司 	买断 	2,204.31 	1.11% 						
2016 年 	2 	小 计 	 	4,513.40 	2.28% 						
2016 年 	3 	临沂市路得家纺有限公司 	买断 	2,299.93 	1.16% 						
2016 年 	3 	临沂市亚伦商贸有限公司 	买断 	1,744.96 	0.88% 						
2016 年 	3 	小 计 	 	4,044.89 	2.05% 						
2016 年 	4 	重庆诺诗曼贸易有限责任公司 	买断 	 3,720.35   	1.88% 						
2016 年 	5 	南昌骏业贸易有限公司 	买断 	  3,451.53   	1.75% 						
2016 年 	5 	李雪莲 	买断 	  0.37   	0.00% 						
2016 年 	5 	小 计 	 	3,451.90 	1.75% 						
2016 年 	 	合 计 	 	24,505.54 	12.4% 						
2015 年 	1 	云南水星家用纺织品有限公司 	买断 	5,240.20 	2.83% 						
2015 年 	1 	云南水百贸易有限公司 	买断 	2,003.90 	1.08% 						
2015 年 	1 	小 计 	 	7,244.11 	3.91% 						
2015 年 	2 	临沂市路得家纺有限公司 	买断 	3,045.04 	1.64% 						
2015 年 	2 	临沂市亚伦商贸有限公司 	买断 	1,463.08 	0.79% 						
2015 年 	2 	小 计 	 	4,508.12 	2.44% 						
2015 年 	3 	株洲海洋实业有限公司 	买断 	2,389.64 	1.29% 						
2015 年 	3 	株洲三叶贸易有限公司 	买断 	2,002.29 	1.08% 						
2015 年 	3 	小 计 	 	4,391.93 	2.37% 						
2015 年 	4 	南昌骏业贸易有限公司 	买断 	  3,600.42   	1.94% 						
2015 年 	4 	李雪莲 	买断 	6.91 	0.00% 						
											
小 计 	 	3,607.33 	1.94% 								
洛阳庆邦商贸有限公司 	买断 	  2,042.23   	1.10% 								
河南水星家用纺织品有限公司 	买断 	  1,127.23   	0.61% 								
小 计 	 	3,169.45 	1.71% 								
合 计 	 	22,920.96 	12.38% 								
株洲海洋实业有限公司 	买断 	2,657.01 	1.50% 								
株洲三叶贸易有限公司 	买断 	2,479.43 	1.40% 								
小 计 	 	5,136.44 	2.90% 								
临沂市路得家纺有限公司 	买断 	2,599.53 	1.46% 								
临沂市亚伦商贸有限公司 	买断 	2,281.91 	1.29% 								
小 计 	 	4,881.44 	2.75% 								
河南水星家用纺织品有限公司 	买断 	566.32 	0.32% 								
洛阳庆邦商贸有限公司 	买断 	2,835.39 	1.60% 								
小  计 	 	3,401.71 	1.92% 								
重庆诺诗曼贸易有限责任公司 	买断 	2,958.44 	1.67% 								
南昌骏业贸易有限公司 	买断 	2,673.68 	1.51% 								
李雪莲 	买断 	109.6 	0.06% 								
小 计 	 	2,783.28 	1.57% 								
合 计 	 	19,161.31 	10.79% 								
											
5 											
 											
1 											
2 											
3 											
4 											
5 											
 											
											
年度 	序号 	名称 	销售方式 	销售金额 （万元） 	占营业收入 比例 						
2016 年度 	1 	王满朵 	买断 	753.29   	0.38% 						
2016 年度 	2 	俞先兴 	买断 	594.11 	0.30% 						
2016 年度 	2 	郑玉萍 	买断 	66.85 	0.03% 						
2016 年度 	2 	小 计 	 	660.97 	0.33% 						
2016 年度 	3 	孙旋虹 	买断 	432.57 	0.22% 						
2016 年度 	4 	南陵十字街舒雅家俱城 	买断 	412.63 	0.21% 						
2016 年度 	5 	蒋卫中 	买断 	386.73 	0.20% 						
2016 年度 	 	合 计 	 	2,646.18 	1.34% 						
2015 年度 	1 	俞先兴 	买断 	658.15 	0.36% 						
2015 年度 	1 	郑玉萍 	买断 	48.92 	0.03% 						
2015 年度 	1 	小 计 	 	707.08 	0.38% 						
2015 年度 	2 	王满朵 	买断 	663.06 	0.36% 						
2015 年度 	3 	南陵十字街舒雅家俱城 	买断 	434.95 	0.23% 						
2015 年度 	4 	孙旋虹 	买断 	419.36 	0.23% 						
2015 年度 	5 	上海南南工贸有限公司 	买断 	384.34 	0.21% 						
2015 年度 	 	合 计 	 	2,608.79 	1.41% 						
2014 年度 	1 	王满朵 	买断 	948.81 	0.53% 						
											
2 	俞先兴 	买断 	713.63 	0.40% 							
2 	郑玉萍 	买断 	53.61 	0.03% 							
2 	小 计 	 	767.23 	0.43% 							
3 	南陵十字街舒雅家俱城 	买断 	553.91 	0.31% 							
4 	上海南南工贸有限公司 	买断 	393.87 	0.22% 							
5 	孙旋虹 	买断 	380.01 	0.21% 							
 	合 计 	 	3,043.84 	1.71% 							
											
年度 	序号 	名称 	销售方式 	销售金额 （万元） 	占营业收入 比例 						
2016 年度 	1 	上海百联集团股份有限公司 	代销 	715.54 	0.36% 						
2016 年度 	2 	新世界百货中国有限公司 	代销 	630.32 	0.32% 						
2016 年度 	3 	上海徐家汇商城股份有限公司 	代销 	287.11 	0.15% 						
2016 年度 	4 	上海新世界股份有限公司 	代销 	211.48 	0.11% 						
2016 年度 	5 	上海置地广场商厦有限公司 	代销 	146.29 	0.07% 						
2016 年度 	 	合 计 	 	1,990.74 	1.01% 						
2015 年度 	1 	上海百联集团股份有限公司 	代销 	720.16 	0.39% 						
2015 年度 	2 	上海徐家汇商城股份有限公司 	代销 	315.21 	0.17% 						
2015 年度 	3 	新世界百货中国有限公司 	代销 	227.27 	0.12% 						
2015 年度 	4 	上海新世界股份有限公司 	代销 	168.46 	0.09% 						
2015 年度 	5 	上海申馨卧室用品有限公司 	代销 	161.65 	0.09% 						
2015 年度 	 	合 计 	 	  1,592.75   	0.86% 						
2014 年度 	1 	上海百联集团股份有限公司 	代销 	714.28 	0.40% 						
2014 年度 	2 	上海徐家汇商城股份有限公司 	代销 	349.93 	0.20% 						
2014 年度 	3 	上海新世界股份有限公司 	代销 	201.99 	0.11% 						
2014 年度 	4 	新世界百货中国有限公司 	代销 	197.94 	0.11% 						
2014 年度 	5 	上海申馨卧室用品有限公司 	代销 	117.98 	0.07% 						
2014 年度 	 	合 计 	 	  1,582.11   	0.89% 						
											
年度 	序号 	名称 	销售方式 	销售金额 （万元） 	占营业收入 比例 						
2016 年度 	1 	唯品会（中国）有限公司 	代销 	9,196.74 	4.65% 						
2016 年度 	2 	北京京东世纪贸易有限公司 	买断 	5,392.11 	2.73% 						
2016 年度 	3 	纽海信息技术（上海）有限公司 	买断 	337.06 	0.17% 						
2016 年度 	4 	上海天翌电子商务有限公司 	买断 	111.49 	0.06% 						
2016 年度 	5 	倪婷 	买断 	3.07 	0.00% 						
2016 年度 	 	合 计 	 	15,040.47 	7.61% 						
2015 年度 	1 	唯品会（中国）有限公司 	代销 	4,988.19 	2.69% 						
2015 年度 	2 	北京京东世纪贸易有限公司 	买断 	4,345.12 	2.35% 						
2015 年度 	3 	浙江天猫技术有限公司 	买断 	1,476.47 	0.80% 						
2015 年度 	4 	亚马逊（中国）投资有限公司 	买断 	127.79 	0.07% 						
2015 年度 	5 	纽海信息技术（上海）有限公司 	买断 	45.10 	0.02% 						
2015 年度 	 	合 计 	 	10,982.67 	5.93% 						
2014 年度 	1 	唯品会（中国）有限公司 	代销 	2,578.17 	1.45% 						
2014 年度 	2 	北京京东世纪贸易有限公司 	买断 	1,938.19 	1.09% 						
2014 年度 	3 	亚马逊（厦门）贸易有限公司 	买断 	125.40 	0.07% 						
2014 年度 	4 	张建勋 	买断 	18.38 	0.01% 						
2014 年度 	5 	何述兰 	买断 	6.00 	0.00% 						
2014 年度 	 	合 计 	 	4,666.13 	2.63% 						
											
年度 	序号 	名称 	销售方式 	销售金额 （万元） 	占营业收入 比例 						
2016 年度 	1 	QBEDDING, INC. 	买断 	674.39 	0.34% 						
2016 年度 	2 	欧菲斯办公伙伴（北京）商贸有限公司 	买断 	263.23 	0.13% 						
2016 年度 	2 	欧菲斯办公伙伴（上海）商贸有限公司 	买断 	255.56 	0.13% 						
2016 年度 	2 	小 计 	 	518.78 	0.26% 						
2016 年度 	3 	桐乡市红秀世纺家居用品有限公司 	买断 	385.39 	0.19% 						
2016 年度 	4 	上海芮久实业有限公司 	买断 	281.13 	0.14% 						
2016 年度 	5 	DREAMNY TRADING INC. 	买断 	51.58 	0.03% 						
2016 年度 	5 	FANTASY STAR TRADING INC. 	买断 	125.46 	0.06% 						
2016 年度 	 	小 计 	 	177.04 	0.09% 						
2016 年度 	 	合 计 	 	2,036.73 	1.03% 						
2015 年度 	1 	QBEDDING, INC. 	买断 	731.02 	0.39% 						
2015 年度 	2 	上海东方电视购物有限公司 	代销 	257.52 	0.14% 						
2015 年度 	3 	DREAMNY TRADING INC. 	买断 	187.24 	0.10% 						
2015 年度 	4 	利丰博源（北京）国际贸易有限公司 	买断 	176.06 	0.10% 						
											
5 	桐乡市红秀世纺家居用品有限公司 	买断 	160.29 	0.09% 							
 	合 计 	 	1,512.12 	0.82% 							
1 	QBEDDING, INC. 	买断 	648.92 	0.37% 							
2 	雅迪科技集团销售有限公司 	买断 	491.39 	0.28% 							
3 	上海宏贯商务咨询有限公司 	买断 	279.16 	0.16% 							
4 	上海东方电视购物有限公司 	代销 	275.15 	0.15% 							
5 	SHENG DA CORP. 	买断 	168.33 	0.09% 							
 	合 计 	 	1,862.95 	1.05% 							
											
项目 	2016 年度 	2016 年度 	2015 年度 	2015 年度 	2014 年度 	2014 年度 					
项目 	金额 	比例 	金额 	比例 	金额 	比例 					
原材料 	98,456.84   	80.79% 	100,132.75 	83.39% 	97,980.71 	86.60% 					
直接人工 	10,834.72   	8.89% 	8,352.16 	6.96% 	6,811.48 	6.02% 					
制造费用 	  7,653.11   	6.28% 	6,469.85 	5.39% 	4,231.71 	3.74% 					
委托加工费 	  4,924.41   	4.04% 	5,109.95 	4.26% 	4,123.55 	3.64% 					
合计 	121,869.07   	100.00% 	120,064.71 	100.00% 	113,147.45 	100.00% 					
											
原材料 	2016年度 	2016年度 	2015年度 	2015年度 	2014年度 	2014年度 					
原材料 	平均 单价 	增幅 	平均 单价 	增幅 	平均 单价 	增幅 					
布（米） 	11.32 	-5.27% 	11.95 	-11.42% 	13.49 	0.30% 					
填充料（公斤） 	14.80 	-1.79% 	15.07 	-23.97% 	19.82 	13.32% 					
											
项目 	项目 	2016 年度 	2015 年度 	2014 年度 							
全棉布 	采购金额 	42,925.42 	40,834.68 	42,150.03 							
全棉布 	金额占比 	53.88% 	53.24% 	49.34% 							
全棉布 	采购数量（米） 	31,141,117 	29,871,546 	27,123,253 							
涤棉布 	采购金额 	9,784.69 	8,668.71 	9,386.48 							
涤棉布 	金额占比 	12.28% 	11.30% 	10.99% 							
涤棉布 	采购数量（米） 	17,079,586 	14,294,344 	14,413,977 							
蚕丝棉 	采购金额 	6,024.14 	6,120.85 	8,048.63 							
蚕丝棉 	金额占比 	7.56% 	7.98% 	9.42% 							
蚕丝棉 	采购数量（公斤） 	320,017 	298,864 	352,117 							
涤短纤 	采购金额 	5,472.75 	5,947.38 	6,900.42 							
涤短纤 	金额占比 	6.87% 	7.75% 	8.08% 							
涤短纤 	采购数量（公斤） 	7,781,041 	7,971,867 	7,360,293 							
合计 	金额 	64,207.00 	61,571.62 	66,485.56 							
合计 	金额占比 	80.60% 	80.27% 	77.83% 							
											
年度 	排名 	单位名称 	采购金额（万元） 	占当年采购金额的比例 							
2016年 	1 	江苏翔宇纺织品有限公司 	6,462.15 	5.73% 							
2016年 	2 	南通康福特纺织有限公司 	6,179.71 	5.48% 							
2016年 	3 	南通展群纺织有限公司 	4,126.11 	3.66% 							
2016年 	4 	南通市嘉宇斯纺织科技有限公司 	3,999.91 	3.55% 							
2016年 	5 	江苏金太阳纺织科技股份有限公司 	3,909.93 	3.47% 							
2016年 	合计 	合计 	24,677.81 	21.89% 							
2015年 	1 	南通康福特纺织有限公司 	 5,571.85   	5.38% 							
2015年 	2 	江苏翔宇纺织品有限公司 	              5,538.32 	5.35% 							
2015年 	3 	南通妙境家纺有限公司 	              3,491.03 	3.37% 							
2015年 	4 	江苏金太阳纺织科技有限公司 	  3,471.75   	3.35% 							
2015年 	5 	南通圣之花纺织有限公司 	  3,423.30   	3.31% 							
2015年 	合计 	合计 	  21,496.25   	20.76% 							
2014年 	1 	江苏翔宇纺织品有限公司 	  9,434.21   	7.48% 							
2014年 	2 	南通康福特纺织有限公司 	  8,483.28   	6.72% 							
2014年 	3 	桐乡市珂伊家纺有限公司 	  7,516.56   	5.96% 							
2014年 	4 	南通展群纺织有限公司 	  4,516.11   	3.58% 							
2014年 	5 	湖州千思家用纺织品有限公司 	  3,465.66   	2.75% 							
2014年 	合计 	合计 	  33,415.81   	26.48% 							
											
项目 	2016 年度 	2015 年度 	2014 年度 								
电（元/度） 	1.01 	1.05 	1.04 								
水（元/吨） 	4.73 	4.82 	3.96 								
											
年度 	排名 	单位名称 	采购金额 （万元） 	主要采购内容 	占当年采购金额的比例 						
2016年 	1 	南通康福特纺织有限公司 	6,179.71 	坯布 	5.48% 						
2016年 	2 	南通展群纺织有限公司 	4,126.11 	成品布 	3.66% 						
2016年 	3 	南通市嘉宇斯纺织科技有限公司 	3,999.91 	成品布 	3.55% 						
2016年 	4 	江苏金太阳纺织科技股份有限公司 	3,759.33 	成品布 	3.33% 						
2016年 	5 	南通爱尔屋纺织品有限公司 	3,545.16 	成品布 	3.14% 						
2016年 	合计 	合计 	21,610.22 	 	19.16% 						
2015年 	1 	南通康福特纺织有限公司 	5,571.85 	坯布 	5.38% 						
2015年 	2 	南通妙境家纺有限公司 	3,491.03 	成品布 	3.37% 						
2015年 	3 	南通展群纺织有限公司 	3,313.97 	成品布 	3.20% 						
2015年 	4 	南通圣之花纺织有限公司 	3,295.82 	成品布 	3.18% 						
2015年 	5 	江苏金太阳纺织科技股份有限公司 	3,208.36 	成品布 	3.10% 						
2015年 	合计 	合计 	18,881.03 	 	18.23% 						
2014年 	1 	南通康福特纺织有限公司 	8,483.28 	坯布 	6.72% 						
2014年 	2 	桐乡市珂伊家纺有限公司 	7,516.56 	蚕丝被胎 	5.96% 						
2014年 	3 	南通展群纺织有限公司 	4,516.11 	成品布 	3.58% 						
2014年 	4 	南通新世纪布业有限公司 	2,999.90 	成品布 	2.38% 						
2014年 	5 	南通市嘉宇斯纺织科技有限公司 	2,718.15 	成品布 	2.15% 						
2014年 	合计 	合计 	26,233.99 	 	20.79% 						
											
年度 	排名 	排名 	单位名称 	采购金额 （万元） 	采购金额 （万元） 	主要采购内容 	占当年采购金额的比例 				
2016年 	1 	1 	宁波维科精华集团股份有限公司 	998.76 	998.76 	坯布印染 	0.89% 				
2016年 	2 	2 	无锡宝隆印染有限公司 	708.43 	708.43 	坯布印染 	0.63% 				
2016年 	3 	3 	上海温丽刺绣厂 	634.20 	634.20 	套件绣花 	0.56% 				
2016年 	4 	4 	上海理敏家纺有限公司 	628.57 	628.57 	套件缝制 	0.56% 				
2016年 	5 	5 	如皋市七星纺织品有限公司 	441.54 	441.54 	套件缝制 	0.39% 				
2016年 	合计 	合计 	合计 	3,411.51 	3,411.51 	 	3.02% 				
2015年 	1 	1 	宁波维科精华集团股份有限公司 	1,566.59 	1,566.59 	坯布印染 	1.51% 				
2015年 	2 	2 	上海理敏家纺有限公司 	650.53 	650.53 	套件缝制 	0.63% 				
2015年 	3 	3 	上海温丽刺绣厂 	545.04 	545.04 	套件绣花 	0.53% 				
2015年 	4 	4 	安徽爱星制衣有限公司 	357.14 	357.14 	套件绣花 	0.34% 				
2015年 	5 	5 	上海人杰绣花加工厂 	346.07 	346.07 	套件绣花 	0.33% 				
年度 	排名 	排名 	单位名称 	采购金额 （万元） 	采购金额 （万元） 	主要采购内容 	占当年采购金额的比例 				
合计 	合计 	合计 	3,465.37 	3,465.37 	 	3.35% 					
1 	1 	宁波维科精华集团股份有限公司 	1,210.65 	1,210.65 	坯布印染 	0.96% 					
2 	2 	上海理敏家纺有限公司 	874.22 	874.22 	套件缝制 	0.69% 					
3 	3 	无锡宝露印染有限公司 	712.02 	712.02 	坯布印染 	0.56% 					
4 	4 	上海温丽刺绣厂 	532.28 	532.28 	套件绣花 	0.42% 					
5 	5 	上海人杰绣花加工厂 	492.96 	492.96 	套件绣花 	0.39% 					
合计 	合计 	合计 	3,822.13 	3,822.13 	 	3.03% 					
											
年度 	排名 	单位名称 	采购金额 （万元） 	主要采购内容 	占当年采购金额的比例 						
2016年 	1 	江苏翔宇纺织品有限公司 	6,278.35 	羽绒被 	5.57% 						
2016年 	2 	湖州千思家用纺织品有限公司 	2,569.88 	蚕丝被 	2.28% 						
2016年 	3 	台州市丝丝美席业有限公司 	1,941.38 	竹草凉席 	1.72% 						
2016年 	4 	南通富佳棉业有限公司 	1,780.51 	床护垫 	1.58% 						
2016年 	5 	南通优蜜羽绒制品有限公司 	984.89 	羽绒被 	0.87% 						
2016年 	合计 	合计 	13,555.01 	 	12.02% 						
2015年 	1 	江苏翔宇纺织品有限公司 	5,490.49 	羽绒被 	5.30% 						
2015年 	2 	湖州千思家用纺织品有限公司 	2,230.03 	蚕丝被 	2.15% 						
2015年 	3 	南通优蜜羽绒制品有限公司 	938.43 	羽绒被 	0.91% 						
2015年 	4 	台州市丝丝美席业有限公司 	923.31 	竹草凉席 	0.89% 						
2015年 	5 	南通富佳棉业有限公司 	903.10 	床护垫 	0.87% 						
2015年 	合计 	合计 	10,485.36 	 	10.13% 						
2014年 	1 	江苏翔宇纺织品有限公司 	9,115.75 	羽绒被 	7.22% 						
2014年 	2 	湖州千思家用纺织品有限公司 	2,945.92 	蚕丝被 	2.33% 						
2014年 	3 	宝应晨阳羽绒制品有限公司 	2,635.87 	羽绒被 	2.09% 						
2014年 	4 	南通优蜜羽绒制品有限公司 	2,264.77 	羽绒被 	1.79% 						
2014年 	5 	南通富佳棉业有限公司 	1,252.12 	床护垫 	0.99% 						
2014年 	合计 	合计 	18,214.43 	 	14.44% 						
											
年度 	项目 	采购金额（万元） 	占当期营业成本的比例 								
2016 年 	委托加工 	7,339.33 	5.89% 								
2016 年 	定制生产（OEM） 	25,781.52 	20.68% 								
2016 年 	合计 	33,120.85 	26.57% 								
2015 年 	委托加工 	6,547.20 	5.30% 								
2015 年 	定制生产（OEM） 	20,298.00 	16.45% 								
2015 年 	合计 	26,845.19 	21.75% 								
2014 年 	委托加工 	7,845.78 	6.66% 								
2014 年 	定制生产（OEM） 	32,911.50 	27.94% 								
2014 年 	合计 	40,757.28 	34.60% 								
											
项 目 	项 目 	2016 年度 	2016 年度 	2015 年度 	2015 年度 	2014 年度 	2014 年度 				
项 目 	项 目 	金额 	占主营业务成本比 	金额 	占主营业务成本比 	金额 	占主营业务成本比 				
原材料 	坯布印染 	  1,951.95   	1.60% 	  2,421.06   	2.02% 	  2,014.41   	1.78% 				
定制生产 的产成品 	26,592.81   	21.82% 	23,071.06   	19.22% 	27,400.06   	24.22% 					
套件绣花及套件缝制 	4,924.41   	4.04% 	5,109.95 	4.26% 	4,123.55 	3.64% 					
合 计 	合 计 	33,469.17   	27.46% 	30,602.07   	25.50% 	33,538.02   	29.64% 				
											
序号 	远亲及其控制、参股的企业名称 	与本公司的关系 									
