产品布局 	产品布局 	主要产品 	占 2017 年主营业务收入比例（%） 	占 2016 年主营业务收入比例（%） 	占 2015年主营业务收入比例（%） 			
1 	发明专利 	发行人 	ZL201410677883.X 	一种惯性导航系统的误差校正方法 	2014.11.24 	原始取得 		
2 	发明专利 	发行人 	ZL201510043375.0 	GIS 局放在线监测系统 	2015.01.28 	原始取得 		
3 	实用新型 	发行人 	ZL201020678480.4 	变压器油检测中用的气体浓度标定装置 	2010.12.24 	原始取得 		
4 	实用新型 	发行人 	ZL201020678302.1 	变压器油的滤水装置 	2010.12.24 	原始取得 		
5 	实用新型 	发行人 	ZL201020678477.2 	变压器油的油气分离装置 	2010.12.24 	原始取得 		
6 	实用新型 	发行人 	ZL201020678478.7 	一种变压器油的油气分离装置 	2010.12.24 	原始取得 		
7 	实用新型 	发行人 	ZL201220097083.7 	矿物质油的油气分离装置 	2012.03.15 	原始取得 		
8 	实用新型 	发行人 	ZL201320278871.0 	一种用于变压器油监测的析气装置 	2013.05.21 	原始取得 		
9 	实用新型 	发行人 	ZL201320278802.X 	用于变压器油监测的析气装置 	2013.05.21 	原始取得 		
序号 	专利类型 	所有权人 	专利号 	专利名称 	专利申请日 	取得方式 		
10 	发行人 	ZL201320278916.4 	变压器油中气体监测装置 	2013.05.21 				
11 	发行人 	ZL201320279034.X 	氧化锌避雷器在线监测装置 	2013.05.21 				
12 	发行人 	ZL201320653616.X 	一种用于变压器油中气体的自动标定装置 	2013.10.23 				
13 	发行人 	ZL201420355558.7 	一种标准油样配制装置 	2014.06.30 				
14 	发行人 	ZL201420352333.6 	一种配电线路故障在线监测装置 	2014.06.30 				
15 	发行人 	ZL201420542633.0 	一种避雷器在线监测装置 	2014.09.22 				
16 	发行人 	ZL201420542578.5 	一种带有时钟的避雷器在线监测装置 	2014.09.22 				
17 	发行人 	ZL201420542276.8 	变压器局部放电在线监测装置 	2014.09.22 				
18 	发行人 	ZL201420542577.0 	变压器智能组件柜 	2014.09.22 				
19 	发行人 	ZL201420542564.3 	变压器油析气装置 	2014.09.22 				
20 	发行人 	ZL201420542602.5 	一种新型避雷器在线监测装置 	2014.09.22 				
21 	发行人 	ZL201420542269.8 	具有取油功能的变压器局放在线监测装置 	2014.09.22 				
22 	发行人 	ZL201420542604.4 	工控机老化装置 	2014.9.22 				
23 	发行人 	ZL201420542339.X 	一种用于避雷器监测的复合电流传感器 	2014.09.22 				
24 	发行人 	ZL201420542340.2 	变压器铁芯接地在线监测装置 	2014.09.22 				
25 	发行人 	ZL201420542579.X 	导线温度测量装置 	2014.09.22 				
26 	发行人 	ZL201420542268.3 	传感器老化装置 	2014.09.22 				
27 	发行人 	ZL201420542889.1 	气缸性能测试装置 	2014.09.22 				
28 	发行人 	ZL201420558195.7 	一种电池调节支架 	2014.09.26 				
29 	发行人 	ZL201420570767.3 	新型变压器铁芯接地在线监测装置 	2014.09.30 				
30 	发行人 	ZL201520056835.9 	罩式馈线终端 	2015.01.28 				
31 	发行人 	ZL201520057142.1 	SF6微水密度在线检测装置 	2015.01.28 				
32 	发行人 	ZL201520058164.X 	变压器油中气体在线监测系统 	2015.01.28 				
序号 	专利类型 	所有权人 	专利号 	专利名称 	专利申请日 	取得方式 		
33 	发行人 	ZL201520058114.1 	变压器局放在线监测系统 	2015.01.28 				
34 	发行人 	ZL201520057161.4 	GIS 局部放电在线监测系统 	2015.01.28 				
35 	发行人 	ZL201520058194.0 	智能变电站监控系统 	2015.01.28 				
36 	发行人 	ZL201520063556.5 	一种避雷器在线监测系统 	2015.01.29 				
37 	发行人 	ZL201520063571.X 	一种输电线路视频图像在线监测装置 	2015.01.29 				
38 	发行人 	ZL201520061908.3 	一种配电线路故障在线监测系统 	2015.01.29 				
39 	发行人 	ZL201520061917.2 	一种配电自动化配变终端 	2015.01.29 				
40 	发行人 	ZL201520154171.X 	一种智能变压器温湿度调节系统 	2015.03.18 				
41 	发行人 	ZL201520196850.3 	状态接入控制器 	2015.04.02 				
42 	发行人 	ZL201520855238.2 	充气柜的联锁装置 	2015.10.29 				
43 	发行人 	ZL201520855399.1 	一种充气柜的新型联锁装置 	2015.10.29 				
44 	发行人 	ZL201620005972.4 	一种输电线覆冰监测系统 	2016.01.05 				
45 	发行人 	ZL201620009870.X 	一种红外测温分析系统 	2016.01.05 				
46 	发行人 	ZL201620071279.7 	一种变压器铁芯接地在线监测系统 	2016.01.25 				
47 	发行人 	ZL201620072176.2 	一种变压器管末屏适配器装置 	2016.01.25 				
48 	发行人 	ZL201620076629.9 	一种输电线微气象监测系统 	2016.01.25 				
49 	发行人 	ZL201720135603.1 	一种智能型吸湿器 	2017.02.15 				
50 	发行人 	ZL201621013503.3 	一种巡检机器人 	2016.08.31 				
51 	发行人 	ZL201720459978.3 	一种用于机器人充电的防拉弧保护系统 	2017.04.28 				
52 	申宁达智能 	ZL201621435871.7 	一种智能头盔的无线充电箱 	2016.12.26 				
53 	申宁达智能 	ZL201621435857.7 	一种具有电池防爆功能的智能头盔 	2016.12.26 				
54 	申宁达智能 	ZL201621437134.0 	一种智能头盔 	2016.12.26 				
55 	申宁达智能 	ZL201621437131.7 	一种多功能智能头盔 	2016.12.26 				
序号 	专利类型 	所有权人 	专利号 	专利名称 	专利申请日 	取得方式 		
56 	申宁达智能 	ZL201621437135.5 	一种智能头盔的警报装置 	2016.12.26 				
57 	申宁达智能 	ZL201621436510.4 	一种能够无线充电的智能头盔 	2016.12.26 				
58 	申宁达智能 	ZL201720514985.9 	一种带瞄准功能的智能头盔 	2017.05.10 				
59 	外观设计 	发行人 	ZL201430177897.6 	故障指示器 	2014.06.12 			
60 	外观设计 	发行人 	ZL201430232892.9 	GIS 局部放电在线监测装置 	2014.07.11 			
61 	外观设计 	发行人 	ZL201430232884.4 	配电自动化馈线终端（罩式） 	2014.07.11 			
62 	外观设计 	发行人 	ZL201430232853.9 	避雷器在线监测装置（电压型） 	2014.07.11 			
63 	外观设计 	发行人 	ZL201430232864.7 	SF6 气体微水密度在线监测装置 	2014.07.11 			
64 	外观设计 	发行人 	ZL201430232878.9 	避雷器在线监测装置（三相共体型） 	2014.07.11 			
65 	外观设计 	发行人 	ZL201430232879.3 	输电线路导线温度在线监测装置 	2014.07.11 			
66 	外观设计 	发行人 	ZL201430232880.6 	变压器铁芯接地在线监测装置 	2014.07.11 			
67 	外观设计 	发行人 	ZL201430232881.0 	避雷器在线监测装置 	2014.07.11 			
68 	外观设计 	发行人 	ZL201430232885.9 	配电线路故障在线监测装置 	2014.07.11 			
69 	外观设计 	发行人 	ZL201430232890.X 	避雷器在线监测装置（系统集成型） 	2014.07.11 			
70 	外观设计 	发行人 	ZL201430232893.3 	输电线路图像在线监测装置 	2014.07.11 			
71 	外观设计 	发行人 	ZL201430232895.2 	避雷器在线监测装置（电流型） 	2014.07.11 			
72 	外观设计 	发行人 	ZL201430232903.3 	输电线路气象在线监测装置 	2014.07.11 			
73 	外观设计 	发行人 	ZL201430232907.1 	导线温度传感器 	2014.07.11 			
74 	外观设计 	发行人 	ZL201430232886.3 	配电自动化配变终端 	2014.07.11 			
75 	外观设计 	发行人 	ZL201430232908.6 	配电自动化馈线终端（箱式） 	2014.07.11 			
76 	外观设计 	发行人 	ZL201430224573.3 	标准油样配制箱（SS0C-2000） 	2014.07.07 			
77 	外观设计 	发行人 	ZL201430232873.6 	配电自动化站所终端 	2014.07.11 			
序号 	专利类型 	所有权人 	专利号 	专利名称 	专利申请日 	取得方式 		
78 	发行人 	ZL201430351315.1 	配电自动化站所终端 	2014.09.22 				
79 	发行人 	ZL201430361194.9 	配电自动化监控箱 	2014.09.26 				
80 	发行人 	ZL201430501438.9 	故障指示器（互感器取电） 	2014.12.05 				
81 	发行人 	ZL201530030585.7 	配电自动化馈线终端（箱式） 	2015.02.02 				
82 	发行人 	ZL201530061801.4 	托架 	2015.03.16 				
83 	发行人 	ZL201530429042.2 	充气柜（SF6 绝缘环网柜） 	2015.10.29 				
84 	申宁达智能 	ZL201630647199.7 	头盔（智能头盔） 	2016.12.26 				
85 	发行人 	ZL201630467976.X 	巡检机器人 	2016.09.12 				
86 	发行人 	ZL201730070698.9 	吸湿器 	2017.03.13 				
87 	申宁达智能 	ZL201730169821.2 	遥控装置（智能手牌） 	2017.05.10 				
88 	申宁达智能 	ZL201730169576.5 	头盔（智能头盔） 	2017.05.10 				
89 	申宁达智能 	ZL201730335770.6 	充电装置 	2017.07.27 				
90 	申宁达智能 	ZL201730335792.2 	电源盒 	2017.07.27 				
91 	申宁达智能 	ZL201730335704.9 	通信基站 	2017.07.27 				
								
序号 	名称 	登记号 	首次发表日期 	著作权人 	取得方式 			
1 	申昊变压器在线监测管理软件 V3.0 	2009SR06494 	2008.12.28 	申昊科技 	原始取得 			
2 	申昊变压器在线监测控制软件 V3.0 	2009SR06477 	2008.12.28 	申昊科技 	原始取得 			
3 	ISOM-6000 智能化变电站系统 V1.0 	2011SR029237 	2011.03.15 	申昊科技 	原始取得 			
4 	申昊变压器在线监测管理软件 V6.0 	2011SR030143 	2011.03.05 	申昊科技 	原始取得 			
								
5 	申昊洁净区动态监控管理软件 V1.0 	2011SR087154 	2011.03.01 					
6 	申昊铁芯接地在线监测系统测控软件 V2.0 	2012SR104422 	2011.06.12 					
7 	申昊 GIS 局部放电在线监测系统测控软件 V2.0 	2012SR104862 	2012.04.15 					
8 	申昊避雷器在线监测系统测控软件 V2.0 	2012SR106042 	2011.05.13 					
9 	申昊变压器局部放电在线监测系统测控软件 V2.0 	2012SR106044 	2012.03.16 					
10 	申昊变电站智能巡检辅助控制系统测控软件 V2.0 	2012SR105925 	2011.12.19 					
11 	申昊变压器在线监测管理软件 V7.0 	2012SR110118 	2011.03.05 					
12 	申昊电动自行车测试管理软件 V3.0 	2012SR118723 	2006.03.20 					
13 	申昊 SF6 微水在线监测系统测控软件 V1.0 	2013SR048041 	2012.11.26 					
14 	智能变电站状态接入控制系统软件 V1.0 	2013SR052442 	2012.07.20 					
15 	申昊配电线路故障在线监测系统测控软件 V2.0 	2014SR025563 	2013.09.10 					
16 	申昊输电线路气象在线监测系统测控软件 V2.0 	2014SR025566 	2013.04.10 					
17 	申昊红外线测温在线监测系统测控软件 V2.0 	2014SR061524 	2013.09.10 					
18 	申昊配电自动化控制站所终端测控软件 V2.0 	2014SR060657 	2013.09.10 					
19 	申昊配电自动化控制馈线终端测控软件 V2.0 	2014SR061527 	2013.05.10 					
20 	申昊智能变电站辅助系统综合监控平台软件 V2.0 	2014SR121193 	2014.05.10 					
21 	申昊输电线路图像在线监测系统测控软件 V2.0 	2014SR158344 	2014.05.15 					
22 	申昊输电线路等值覆冰厚度在线监测软件 V2.0 	2015SR064601 	2014.05.10 					
23 	申昊输电线路导线温度在线监测软件 V2.0 	2015SR143057 	2013.10.15 					
24 	申昊智能除湿测控软件 V1.0 	2015SR222064 	2015.09.01 					
25 	申昊变电站智能机器人巡检系统软件 V1.0 	2015SR223201 	2015.07.16 					
26 	申昊输电线路山火探测预警系统软件 V2.0 	2016SR026802 	2015.09.16 					
								
27 	申昊无线温度在线监测系统软件 V1.0 	2016SR048626 	2015.11.14 					
28 	申昊压板状态监测系统软件V2.0 	2016SR350240 	2016.08.10 					
29 	申昊三相负荷不平衡自动调节装置监控软件 V1.0 	2017SR010137 	2016.07.02 					
30 	申昊人脸识别系统软件 V1.0 	2017SR037563 	2016.11.14 					
31 	申昊自标定型变压器油中气体在线监测系统软件 V1.0 	2017SR073843 	2016.09.10 					
32 	申昊智能除湿器软件 V1.0 	2017SR198731 	2016.11.10 					
33 	申昊海缆视频监控系统软件V1.0 	2017SR201467 	2016.08.10 					
34 	申昊免维护智能型吸湿器（呼吸器）软件 V1.0 	2017SR206999 	2016.09.10 					
35 	申昊巡检机器人运行管理软件 V2.0 	2017SR423480 	2017.01.13 					
36 	申昊巡检机器人充电房控制软件 V1.0 	2017SR423489 	2016.09.21 					
37 	申昊巡检机器人本体控制软件 V2.0 	2017SR423497 	2017.01.15 					
38 	申昊户内挂轨式巡检机器人本体控制软件 V1.0 	2017SR628536 	2017.06.05 					
39 	申昊户内挂轨式巡检机器人运行管理软件 V1.0 	2017SR628697 	2017.06.03 					
40 	申昊户内挂轨式巡检机器人运行测控软件 V1.0 	2017SR638464 	2017.06.03 					
41 	申昊远传型故障指示器汇集软件 V2.0 	2017SR633823 	2017.06.03 					
42 	申昊远传型故障指示器采集软件 V2.0 	2017SR636377 	2017.06.03 					
43 	晟冠三相负荷不平衡自动调节装置监控软件 V1.0 	2017SR061034 	2016.08.02 	晟冠科技 	原始取得 			
44 	晟冠智能除湿器软件 V1.0 	2017SR149545 	2016.11.10 	晟冠科技 	原始取得 			
45 	晟冠海缆视频监控系统软件V1.0 	2017SR091411 	2016.09.10 	晟冠科技 	原始取得 			
46 	晟冠变压器免维护智能呼吸器软件 V1.0 	2017SR149564 	2016.09.10 	晟冠科技 	原始取得 			
47 	晟冠配电线路故障在线监测测控软件 V1.0 	2017SR146962 	2016.11.10 	晟冠科技 	原始取得 			
48 	申宁达三相负荷不平衡自动调节装置监控软件 V1.0 	2017SR107048 	2017.02.10 	申宁达智能 	原始取得 			
49 	申宁达智能头盔软件V1.0 	2017SR628668 	2017.05.15 	申宁达智能 	原始取得 			
								
50 	申宁达433M综合通信基站软件V1.0 	2017SR630456 	2017.03.20 					
51 	申宁达智能手牌软件V1.0 	2017SR629127 	2017.03.15 					
52 	申宁达无线充电箱软件V1.0 	2017SR628338 	2017.04.02 					
53 	申宁达电力作业智能安全管控系统软件V1.0 	2017SR605643 	2017.08.20 					
								
序号 	名称 	编号 	发证时间 	有效期 				
1 	申昊 GIS 局部放电在线监测系统测控软件V2.0 	浙 DGY-2013-0894 	2013.07.08 	五年 				
2 	申昊避雷器在线监测系统测控软件 V2.0 	浙 DGY-2013-0976 	2013.07.08 	五年 				
3 	申 昊铁 芯 接 地在 线 监测 系 统测 控 软 件V2.0 	浙 DGY-2013-1049 	2013.07.08 	五年 				
4 	申昊 SF6微水在线监测系统测控软件 V1.0 	浙 DGY-2013-1316 	2013.08.12 	五年 				
5 	申昊变压器局部放电在线监测系统测控软件 V2.0 	浙 DGY-2013-1317 	2013.08.12 	五年 				
6 	申昊智能变电站状态接入控制造系统软件V1.0 	浙 DGY-2013-1182 	2013.08.12 	五年 				
7 	申昊配电线路故障在线监测系统测控软件V2.0 	浙 DGY-2014-0623 	2014.04.08 	五年 				
8 	申昊配电自动化站所终端测控软件 V2.0 	浙 DGY-2014-0620 	2014.04.08 	五年 				
9 	申昊输电线路图像在线监测系统测控软件V2.0 	浙 DGY-2014-2086 	2014.11.03 	五年 				
10 	申昊配电自动化馈线终端测控软件 V2.0 	浙 DGY-2014-1018 	2014.06.05 	五年 				
11 	申昊输电线路气象在线监测系统测控软件V2.0 	浙 DGY-2014-1014 	2014.06.05 	五年 				
12 	申 昊红 外 测 温在 线 监测 系 统测 控 软 件V2.0 	浙 DGY-2014-1122 	2014.07.02 	五年 				
13 	申 昊输 电 线 路覆 冰 厚度 在 线 监 测软 件V2.0 	浙 DGY-2015-0762 	2015.05.25 	五年 				
14 	申 昊输 电 线 路导 线 温度 在 线监 测 软 件V2.0 	浙 DGY-2015-1290 	2015.07.30 	五年 				
15 	申昊智能变电站辅助系统综合监控平台软件 V2.0 	浙 DGY-2015-1288 	2015.07.30 	五年 				
								
序号 	域名 	主办单位名称 	申请时间 	备案编号 				
1 	www.shenhaoinfo.com 	申昊科技 	2003 年 09 月 29 日 	浙 ICP 备 09015103 号-1 				
2 	shengguantech.com 	晟冠科技 	2017 年 02 月 13 日 	浙ICP备17007239号-1 				
3 	suneed.cn 	申宁达智能 	2017 年 08 月 01 日 	苏ICP备17047685号-1 				
								
对应产品领域 	核心技术名称 	技术来源 	技术描述 					
智能巡检机器人 	移动机器人四轮驱动、四轮转向运动控制技术 	自主研发 	通过建立包括运动学、动力学和电机模型在内的完整的机器人数学模型，实现基于 Backstepping 方法的鲁棒轨迹跟踪控制方法 					
智能巡检机器人 	自主充电技术 	自主研发 	通过开发自主充电装置机构设计技术、防拉弧保护技术和机器人充电定位技术实现机器人的全自主充电 					
								
机器人定位与导航技术 	合作研发 	采用激光雷达与里程信息相融合的方法实现机器人的自主定位与导航 						
基于视觉的云台纠偏技术 	自主研发 	通过采用模式识别与图像匹配算法对云台在拍摄图片过程中出现的转动偏差进行智能化纠正 						
红外图像小目标精确匹配技术 	自主研发 	采用一种基于绝对误差总和与分支定界法的具有仿射变换不变性的红外图像匹配算法，可有效解决红外图像特征模糊及强风引起的待测区域发生形变导致匹配率低的问题 						
基于深度学习的图像识别技术 	合作研发 	将深度学习与支持向量机相结合，将多个限制性玻尔兹曼机与 SVM 连接构建多层分类模型，用深度学习的方法提取样本特征，然后用 SVM 方法进行分类，并将其应用到图像识别任务中 						
室内巡检机器人导轨设计技术 	自主研发 	采用包括导轨截面设计技术、弯道稳定技术和轻量化结构设计技术等实现室内巡检机器人的吊装导轨设计 						
室内巡检机器人弯道运行控制技术 	自主研发 	采用角度传感器反馈控制室内巡检机器人在导轨弯道处的运动控制 						
变压器油气分离技术 	自主研发 	采用真空全脱气法，通过气缸活塞往复运动的方式实现真空全脱气，不仅脱气率高，脱气速度快，而且采用油循环措施保证取油样的新鲜性和代表性，并通过有效的安全措施，防止对油样或变压器本体造成二次污染 						
多组分变压器油中溶解气体在线监测技术 	自主研发 	采用智能型热导传感器检测技术，实现多组分、高精度的变压器溶解特征气体的实时在线监测 						
油色谱自动标定技术 	自主研发 	通过开发一种线性热导传感器，并结合标准气体稀释法实现油色谱装置在全量程范围内的自动化标定和校准 						
容性设备绝缘监测技术 	自主研发 	采用 FFT 快速算法、零磁通传感检测技术和谐波分析法实现容性设备的绝缘特性在线监测 						
智能除湿技术 	自主研发 	采用含水量和露点关系的精确算法进行控制，并通过冷凝法技术，将箱体内的水分凝露为水后排出体外，实现智能化除湿的目的 						
无源无线测温技术 	自主研发 	采用 SAW（声表面波）传感器检测技术实现无源、无线式的测温方法 						
变压器呼吸器免维护技术 	自主研发 	采用自干燥循环利用技术实现变压器呼吸器的免维护 						
低功耗设计技术 	自主研发 	采用动态电压调节、门控时钟和可变频时钟等方式降低系统的静态功耗和动态功耗 						
智能电源管理技术 	自主研发 	通过采用太阳能涓流在线充电、电池充放电管理等技术实现风光互补式供电方案的智能化管理 						
配电线路故障定位技术 	自主研发 	通过对配电线路运行特征量的实时采集与准确分析，实时捕获配电线路上的短路故障和单相接地故障，并通过现场指示或信号远传的方式对故障点进行准确定位 						
电流互感器小电流取电技术 	自主研发 	采用二级式电流互感器拓扑结构的取电方式，实现小电流条件下的感应取电 						
远程在线升级技术 	自主研发 	采用 Boot 加双 Loader 的结构形式实现嵌入式设备的远程在线升级 						
								
输电在线监测 								
配电自动化 								
								
序号 	项目 	项目阶段[注] 	简要研发内容 					
1 	哥伦布导航系统 	开发阶段 	针对户外复杂变化环境的特点，开发基于北斗定位和神经网络自动驾驶模型组合技术的定位导航系统，增强定位导航的纠错能力和环境适应性 					
2 	变压器油中气体在线监测系统（光声光谱） 	开发阶段 	采用新型的光声光谱技术实现对变压器油中溶解特征故障气体的在线监测 					
3 	基于多传感器信息融合的自主移动机器人 	样机测试 	在第一代机器人基础上进行外观、集成化水平、工艺水平、可维护性、本体安全性、导航可靠性等方面的提升 					
4 	自主移动机器人导航技术开发 	开发阶段 	为自主移动机器人在复杂环境下具备自规划、自组织、自适应能力提供核心技术，实现真正的智能化和完全自主移动 					
5 	电力管廊导轨式智能机器人巡检系统 	开发阶段 	在原有智能巡检机器人功能的基础上，实现对电力隧道环境与设备的不间断监控 					
6 	SVG 核心功率单元 	开发阶段 	安装于各产生电能质量污染源头处，具备无功补偿、谐波滤除、减少三相不平衡度等功能，同时具备良好的在线状态监视及人机交互功能，达到电能质量问题治理目的 					
7 	电力海缆测温设备 	试运行 	开发一种通过对海底电缆线路运行环境和物理状态的检测，从而预测分析海底电缆的机械故障的设备 					
8 	断路器分合闸电流检测系统 	试运行 	通过对断路器线圈电流进行检测，从而预测分析机械故障 					
9 	变电站人员安全管控系统 	开发阶段 	开发一套具备人员识别、定位跟踪功能的作业行为监控系统，用于变电站人员管控 					
								
序号 	项目 	合作方 	项目阶段 	简要研发内容 	发行人参与的内容 			
1 	变电站智能巡检机器人第二代 	中国科学院微电子研究所 	试运行 	在第一代机器人基础上完成功能和性能的升级 	参与机械设计、硬件设计、电气设计、软、硬件测试 			
2 	电力海缆温度监测系统研发 	浙江科技学院 	试运行 	实现远程海缆温度信号采集、处理和传输等 	参与软硬件测试，协助完成设计方案和整体工艺技术的实现 			
3 	断路器分合闸电流测试仪 	浙江科技学院 	试运行 	实现对断路器分合闸电流的自检功能 	参与软硬件测试，协助完成设计方案和整体工艺技术的实现 			
4 	电力管廊沉降检测技术开发 	浙江大学 	开发阶段 	以导轨式智能机器人为核心，结合实时监控，数据采集服务器以及相关附件，可实现对电力隧道环境与设备的不间断监控。 	开展市场需求分析和企业需求分析，参与关键技术研发、成果转化等 			
5 	变压器油中特征气体光声光谱测量模块开发 	苏州微纳激光光子技术有限公司 	开发阶段 	所设计的模块能采用光声光谱分析原理，结合油气分离单元能实现对变压器油中气体组分的检测，满足有关变压器油中溶解气体在线检测装置规定的指标要求 	负责变压器油中特征气体光声光谱测量模块整体需求设计、输入输出接口研究、模块与变压器油中溶解气体在线检测装置的系统联调、阶段性评审、场内验收及鉴定；组织相关人员参与研发工作；协调处理项目双方器材、资金等事务 			
6 	核燃料组件氧化膜检测机器人 	中广核核电运营有限公司、河北工业大学 	总体方案论证阶段 	研究基于力控的涡流探头柔性测量方法，建核燃料组件氧化膜检测机器人系统，开展核电站现场应用验证及示范，实现核燃料组件氧化膜的高精度检测。 	高辐射场与突变温度场下高精度氧化膜测量方法以及复杂核环境的高精度涡流测量探头研制 			
								
年度 	2017 年 	2016 年 	2015 年 					
研发经费 	1,994.54 	1,385.87 	1,255.77 					
营业收入 	28,270.44 	19,356.50 	13,990.17 					
占营业收入比例 	7.06% 	7.16% 	8.98% 					
								
序号 	合作方 	合作项目内容 	合作期限 					
1 	杭州恒秒信息技术有限公司 	状态接入控制器 CAC 通信模块升级 	2015.06.10- 2016.06.09 					
2 	中国科学院微电子研究所 	变电站智能机器人巡检系统 	2014.07.01- 2016.06.30 					
3 	武汉凯柏科技有限公司 	①高压电缆 环 流在线 监测系统； ②高压电缆智能接地箱； ③基于分布式光纤技术的电缆温度在线监测系统（DTS）； ④复杂工况高压电缆载流量动态分析软件（DCR） 	2014.03.31- 2017.04.30 					
4 	中国计量学院 	红外测温监测子系统 	2014.03.21- 2015.03.22 					
5 	中国科学院微电子研究所 	变电站智能巡检机器人第二代 	2016.07.01- 2017.06.30 					
6 	北京市安信实科技有限公司 	变电站智能巡检机器人人脸识别系统 	2016.08.12- 2017.08.11 					
7 	杭州非同工业设计有限公司 	巡检机器人工业设计 	2017.06.16- 2017.08.23 					
8 	浙江科技学院 	电力海缆温度监测系统研发 	2017.01.05- 2018.06.30 					
9 	浙江科技学院 	断路器分合闸电流测试仪 	2016.10.20- 2017.12.31 					
10 	浙江大学 	电力管廊沉降检测技术开发 	2017.11.18- 2022.11.17 					
11 	苏州微纳激光光子技术有限公司 	变压器油中特征气体光声光谱测量模块开发 	2017 年 12 月至2018 年 12 月 					
12 	中广核核电运营有限公司、河北工业大学 	核燃料组件氧化膜检测机器人 	2017 年 12 月至2020 年 12 月 					
								
